ano,id_municipio,id_uf,sigla_uf,nome_municipio,pct_alfabetizados,meta_pct,gap_meta_pct,atingiu_meta,n_avaliados,ponto_corte,camada
2024,1506906,15,PA,Mun_1506906,78.25,62.0,16.25,True,,743,gold
2024,4213708,42,SC,Mun_4213708,63.51,62.0,1.509999999999998,True,,743,gold
2024,4319802,43,RS,Mun_4319802,46.3,62.0,-15.700000000000003,False,,743,gold
2024,3551405,35,SP,Mun_3551405,44.65,62.0,-17.35,False,,743,gold
2024,2600609,26,PE,Mun_2600609,53.87,62.0,-8.130000000000003,False,,743,gold
2024,2105708,21,MA,Mun_2105708,79.18,62.0,17.180000000000007,True,,743,gold
2024,2103901,21,MA,Mun_2103901,81.51,62.0,19.510000000000005,True,,743,gold
2024,2100600,21,MA,Mun_2100600,41.33,62.0,-20.67,False,,743,gold
2024,2901155,29,BA,Mun_2901155,43.23,62.0,-18.770000000000003,False,,743,gold
2024,5003702,50,MS,Mun_5003702,53.18,62.0,-8.82,False,,743,gold
2024,3157203,31,MG,Mun_3157203,66.55,62.0,4.549999999999997,True,,743,gold
2024,2105427,21,MA,Mun_2105427,60.13,62.0,-1.8699999999999974,False,,743,gold
2024,4107850,41,PR,Mun_4107850,85.55,62.0,23.549999999999997,True,,743,gold
2024,4312401,43,RS,Mun_4312401,43.0,62.0,-19.0,False,,743,gold
2024,4211900,42,SC,Mun_4211900,47.35,62.0,-14.649999999999999,False,,743,gold
2024,2706901,27,AL,Mun_2706901,45.81,62.0,-16.189999999999998,False,,743,gold
2024,3137007,31,MG,Mun_3137007,54.47,62.0,-7.530000000000001,False,,743,gold
2024,2607208,26,PE,Mun_2607208,64.15,62.0,2.1500000000000057,True,,743,gold
2024,3303401,33,RJ,Mun_3303401,68.84,62.0,6.840000000000003,True,,743,gold
2024,2112308,21,MA,Mun_2112308,66.43,62.0,4.430000000000007,True,,743,gold
2024,5106778,51,MT,Mun_5106778,53.25,62.0,-8.75,False,,743,gold
2024,2917201,29,BA,Mun_2917201,43.98,62.0,-18.020000000000003,False,,743,gold
2024,3152808,31,MG,Mun_3152808,50.5,62.0,-11.5,False,,743,gold
