ano,pct_alfabetizados,n_municipios,n_atingiram_meta,n_avaliados,meta_pct_brasil,gap_meta_brasil,delta_pp_ano_anterior
2023,60.47,4950,2959,0.0,56.0,4.4691818181818235,
2024,63.17,5516,2968,0.0,62.0,1.1653154459753452,2.700000000000003
